mean,std,min,20%,40%,50%,60%,80%,max,median,acfmean,acfstd,acfmedian,qstatmean,qstatstd,qstatmedian,mda,max_index,sma_sim,sma_adv,sma_sim_abs,sma_adv_abs,energy,iqr,entropy,autoreg_coeff,kurtosis,skewness,trace:id,qr
13.9079571136,20.0592597588,0.006103515625,2.98787434896,4.94791666667,6.47379557292,8.23160807292,15.8341471354,99.7884114583,6.47379557292,0.00114942528736,0.104899999218,-0.0225233822946,1658.87189782,603.534373785,1495.40339462,5.24846976766,74,13.9079571136,6036.05338729,13.9079571136,6036.05338729,258772.876416,8.98030598958,6.02513703866,159.863982253,5.245866125878381,2.390105535222823,MaxxTurn45/1539952996.7378776,1003
14.8473312866,20.7018218433,0.00203450520833,3.71256510417,5.84676106771,7.34456380208,9.06982421875,18.0627441406,99.5381673177,7.34456380208,0.00114155251142,0.0949832033317,-0.0154917182763,1301.90654505,504.419052923,1240.78742611,5.50486053217,239,14.8473312866,6488.28377223,14.8473312866,6488.28377223,283837.233769,8.67665608724,5.96608656619,226.352371895,5.532114548585591,2.4299064983020213,MaxxTurn45/1539930046.1094997,835
13.8393700077,20.2601762935,0.0142415364583,2.78523763021,4.96215820312,6.41886393229,7.95084635417,16.3920084635,99.4262695312,6.41886393229,0.00116009280742,0.0967378187351,-0.0179146641666,1316.76269272,471.168756446,1296.06197935,5.36007515927,40,13.8393700077,5950.9291033,13.8393700077,5950.9291033,259052.777593,7.96610514323,6.03072702752,206.654216235,5.354034383874849,2.4229181397469803,MaxxTurn45/1539935086.584245,862
13.6398756704,20.1801985993,0.00203450520833,2.95043945312,4.71801757812,6.31103515625,8.05541992188,15.595703125,97.5911458333,6.31103515625,0.00114155251142,0.100923782125,-0.0260694422016,1526.70749544,511.20952839,1399.98328364,5.04788169895,41,13.6398756704,5960.62566795,13.6398756704,5960.62566795,259452.300813,8.07444254557,5.98565377556,180.949777609,5.495555286243059,2.4742356704086643,MaxxTurn45/1539849646.9578729,633
12.9118220302,19.0007936575,0.00406901041667,2.33194986979,3.94612630208,5.87768554688,7.90161132812,15.9045410156,95.546468099,5.87768554688,0.00114416475973,0.0897636114238,-0.0183950283819,1109.56630875,341.763670943,1053.55694316,5.54407323733,8,12.9118220302,5629.55440518,12.9118220302,5629.55440518,230263.669329,8.37809244792,5.95780967365,174.492987911,5.6504999343079,2.444902720753685,MaxxTurn45/1539789180.8189752,550
13.1937348378,19.8634690355,0.006103515625,1.94254557292,4.22729492188,6.11979166667,7.84057617187,15.4817708333,96.055094401,6.11979166667,0.00110375275938,0.091166330548,-0.00742844641042,1261.11859356,369.203127167,1362.9483825,5.72203859152,120,13.1937348378,5963.56814667,13.1937348378,5963.56814667,257195.757214,8.0810546875,6.03667070079,185.511655176,5.861370721351884,2.497115880360658,MaxxTurn45/1539845981.8048153,581
7.70005610951,13.4339273329,0.006103515625,0.0752766927083,0.937093098958,2.85847981771,4.99226888021,9.31477864583,85.0646972656,2.85847981771,0.00263157894737,0.127085995627,-0.0199947252032,399.538484082,140.150142903,429.820205742,4.17916946155,0,7.70005610951,1455.3106047,7.70005610951,1455.3106047,45374.1704548,8.29366048177,5.03864427324,114.978640078,10.064453226397042,2.96995293997188
14.1892412751,20.7650822643,0.00406901041667,3.13720703125,5.04760742188,6.69352213542,8.56526692708,15.5029296875,98.085530599,6.69352213542,0.00114678899083,0.0949434273412,-0.0174933432522,1286.63628079,459.342413664,1188.79355112,5.37817333088,5,14.1892412751,6172.31995469,14.1892412751,6172.31995469,275348.930661,8.19447835286,5.99257309271,202.742995006,5.178693213390584,2.4187914186280457,MaxxTurn45/1539846898.8558867,612
13.7241641224,19.9034842954,0.00406901041667,2.71443684896,5.14729817708,6.50838216146,7.95654296875,15.1879882813,94.7916666667,6.50838216146,0.00114942528736,0.104630777591,-0.0244788147237,1648.1238896,518.433663056,1634.40358217,5.45961510314,237,13.7241641224,5956.28722911,13.7241641224,5956.28722911,253861.946373,7.89286295573,5.98448869701,150.097001298,4.91855961922549,2.3518219640749627,MaxxTurn45/1539788742.5597947,544
13.9730112564,19.9694611726,0.006103515625,3.03548177083,5.10457356771,6.58162434896,8.3740234375,16.259765625,98.3581542969,6.58162434896,0.000805152979066,0.0873670422107,-0.00922796878649,2334.08736395,853.915605165,2208.19646974,5.22433887218,103,13.9730112564,8663.26697898,13.9730112564,8663.26697898,368490.387363,8.32926432292,6.29668730854,155.96194905,4.978268490069315,2.344579658597507,MaxxTurn45/1539775289.401106,418
