,value,timestamp
2018-10-19 12:11:15.589,0.4,1539951075.589
2018-10-19 12:11:29.361,0.386,1539951089.361
2018-10-19 12:11:30.102,0.0,1539951090.102
2018-10-18 09:04:53.485,0.38,1539853493.485
2018-10-18 09:05:05.419,0.4,1539853505.419
2018-10-18 09:05:32.006,0.2,1539853532.006
2018-10-18 09:09:00.522,0.386,1539853740.522
2018-10-18 09:09:06.791,0.4,1539853746.791
2018-10-18 09:09:20.353,0.386,1539853760.353
2018-10-18 09:09:21.348,0.0,1539853761.348
2018-10-18 14:41:27.806,0.38,1539873687.806
2018-10-18 14:41:39.671,0.4,1539873699.671
2018-10-18 14:42:06.495,0.2,1539873726.495
2018-10-18 14:44:47.868,0.386,1539873887.868
2018-10-18 14:44:53.997,0.4,1539873893.997
2018-10-18 14:45:07.711,0.386,1539873907.711
2018-10-18 14:45:08.556,0.0,1539873908.556
2018-10-18 14:16:21.801,0.38,1539872181.801
2018-10-18 14:16:33.662,0.4,1539872193.662
2018-10-18 14:17:00.330,0.2,1539872220.33
2018-10-18 14:19:38.696,0.386,1539872378.696
2018-10-18 14:19:44.841,0.4,1539872384.841
2018-10-18 14:19:58.480,0.386,1539872398.48
2018-10-18 14:19:59.272,0.0,1539872399.272
2018-10-18 12:25:43.952,0.38,1539865543.952
2018-10-18 12:25:55.756,0.4,1539865555.756
2018-10-18 12:26:22.590,0.2,1539865582.59
2018-10-18 12:28:53.826,0.386,1539865733.826
2018-10-18 12:29:00.205,0.4,1539865740.205
2018-10-18 12:29:13.650,0.386,1539865753.65
2018-10-18 12:29:14.611,0.0,1539865754.611
2018-10-19 09:06:30.616,0.38,1539939990.616
2018-10-19 09:06:42.618,0.4,1539940002.618
2018-10-19 09:07:09.211,0.2,1539940029.211
2018-10-19 09:09:46.182,0.386,1539940186.182
2018-10-19 09:09:52.320,0.4,1539940192.32
2018-10-19 09:10:05.997,0.386,1539940205.997
2018-10-19 09:10:06.837,0.0,1539940206.837
2018-10-18 14:12:22.319,0.38,1539871942.319
2018-10-18 14:12:34.261,0.4,1539871954.261
2018-10-18 14:13:01.127,0.2,1539871981.127
2018-10-18 14:15:45.623,0.386,1539872145.623
2018-10-18 14:15:51.579,0.4,1539872151.579
2018-10-18 14:16:05.305,0.386,1539872165.305
2018-10-18 14:16:06.185,0.0,1539872166.185
2018-10-18 08:57:45.537,0.38,1539853065.537
2018-10-18 08:57:57.437,0.4,1539853077.437
2018-10-18 08:58:24.215,0.2,1539853104.215
2018-10-18 09:01:12.560,0.386,1539853272.56
2018-10-18 09:01:18.698,0.4,1539853278.698
2018-10-18 09:01:32.560,0.386,1539853292.56
2018-10-18 09:01:33.296,0.0,1539853293.296
2018-10-19 08:02:38.454,0.38,1539936158.454
2018-10-19 08:02:50.357,0.4,1539936170.357
2018-10-19 08:03:17.089,0.2,1539936197.089
2018-10-19 08:06:09.850,0.386,1539936369.85
2018-10-19 08:06:15.954,0.4,1539936375.954
2018-10-19 08:06:29.871,0.386,1539936389.871
2018-10-19 08:06:30.595,0.0,1539936390.595
2018-10-18 14:37:34.030,0.38,1539873454.03
2018-10-18 14:37:45.917,0.4,1539873465.917
2018-10-18 14:38:12.628,0.2,1539873492.628
2018-10-18 14:40:52.413,0.386,1539873652.413
2018-10-18 14:40:58.427,0.4,1539873658.427
2018-10-18 14:41:12.232,0.386,1539873672.232
2018-10-18 14:41:13.032,0.0,1539873673.032
2018-10-17 09:31:03.713,0.38,1539768663.713
2018-10-17 09:31:15.616,0.4,1539768675.616
2018-10-17 09:31:42.238,0.2,1539768702.238
2018-10-17 09:34:24.649,0.386,1539768864.649
2018-10-17 09:34:30.786,0.4,1539768870.786
2018-10-17 09:34:44.585,0.386,1539768884.585
2018-10-17 09:34:45.380,0.0,1539768885.38
2018-10-18 12:04:49.368,0.38,1539864289.368
2018-10-18 12:05:01.272,0.4,1539864301.272
2018-10-18 12:05:28.013,0.2,1539864328.013
2018-10-18 12:08:17.840,0.386,1539864497.84
2018-10-18 12:08:23.980,0.4,1539864503.98
2018-10-18 12:08:37.653,0.386,1539864517.653
2018-10-18 12:08:38.479,0.0,1539864518.479
2018-10-17 13:01:04.421,0.38,1539781264.421
2018-10-17 13:01:16.386,0.4,1539781276.386
2018-10-17 13:01:43.043,0.2,1539781303.043
2018-10-17 13:08:20.389,0.386,1539781700.389
2018-10-17 13:08:26.491,0.4,1539781706.491
2018-10-17 13:08:40.299,0.386,1539781720.299
2018-10-17 13:08:41.098,0.0,1539781721.098
2018-10-19 08:36:55.195,0.38,1539938215.195
2018-10-19 08:37:07.089,0.4,1539938227.089
2018-10-19 08:37:33.808,0.2,1539938253.808
2018-10-19 08:40:32.042,0.386,1539938432.042
2018-10-19 08:40:38.121,0.4,1539938438.121
2018-10-19 08:40:51.867,0.386,1539938451.867
2018-10-19 08:40:52.690,0.0,1539938452.69
2018-10-19 11:59:20.406,0.38,1539950360.406
2018-10-19 11:59:32.381,0.4,1539950372.381
2018-10-19 11:59:58.911,0.2,1539950398.911
2018-10-19 12:02:54.177,0.386,1539950574.177
2018-10-19 12:03:00.188,0.4,1539950580.188
2018-10-19 12:03:13.911,0.386,1539950593.911
2018-10-19 12:03:14.712,0.0,1539950594.712
2018-10-17 14:31:31.770,0.38,1539786691.77
2018-10-17 14:31:43.761,0.4,1539786703.761
2018-10-17 14:32:10.406,0.2,1539786730.406
2018-10-17 14:34:45.546,0.386,1539786885.546
2018-10-17 14:34:51.619,0.4,1539786891.619
2018-10-17 14:35:05.481,0.386,1539786905.481
2018-10-17 14:35:06.240,0.0,1539786906.24
2018-10-19 07:52:39.158,0.38,1539935559.158
2018-10-19 07:52:51.070,0.4,1539935571.07
2018-10-19 07:53:17.748,0.2,1539935597.748
2018-10-19 07:56:11.010,0.386,1539935771.01
2018-10-19 07:56:17.222,0.4,1539935777.222
2018-10-19 07:56:30.932,0.386,1539935790.932
2018-10-19 07:56:32.051,0.0,1539935792.051
2018-10-17 12:56:25.433,0.38,1539780985.433
2018-10-17 12:56:37.402,0.4,1539780997.402
2018-10-17 12:57:03.947,0.2,1539781023.947
2018-10-17 13:00:11.433,0.386,1539781211.433
2018-10-17 13:00:17.496,0.4,1539781217.496
2018-10-17 13:00:31.238,0.386,1539781231.238
2018-10-17 13:00:32.251,0.0,1539781232.251
2018-10-18 13:26:07.317,0.38,1539869167.317
2018-10-18 13:26:37.694,0.4,1539869197.694
2018-10-18 13:27:36.301,0.2,1539869256.301
2018-10-18 13:30:28.703,0.386,1539869428.703
2018-10-18 13:30:34.907,0.4,1539869434.907
2018-10-18 13:30:48.598,0.386,1539869448.598
2018-10-18 13:30:49.323,0.0,1539869449.323
2018-10-18 08:09:56.521,0.38,1539850196.521
2018-10-18 08:10:08.167,0.4,1539850208.167
2018-10-18 08:10:35.235,0.2,1539850235.235
2018-10-18 08:13:28.469,0.386,1539850408.469
2018-10-18 08:13:34.598,0.4,1539850414.598
2018-10-18 08:13:48.487,0.386,1539850428.487
2018-10-18 08:13:49.178,0.0,1539850429.178
2018-10-19 11:12:45.095,0.38,1539947565.095
2018-10-19 11:12:56.699,0.4,1539947576.699
2018-10-19 11:13:23.517,0.2,1539947603.517
2018-10-19 11:16:32.629,0.386,1539947792.629
2018-10-19 11:16:38.760,0.4,1539947798.76
2018-10-19 11:16:52.467,0.386,1539947812.467
2018-10-19 11:16:53.304,0.0,1539947813.304
2018-10-19 08:44:56.291,0.38,1539938696.291
2018-10-19 08:45:08.101,0.4,1539938708.101
2018-10-19 08:45:34.830,0.2,1539938734.83
2018-10-19 08:48:12.171,0.386,1539938892.171
2018-10-19 08:48:18.311,0.4,1539938898.311
2018-10-19 08:48:31.990,0.386,1539938911.99
2018-10-19 08:48:32.889,0.0,1539938912.889
2018-10-18 13:54:31.533,0.38,1539870871.533
2018-10-18 13:54:43.198,0.4,1539870883.198
2018-10-18 13:55:09.902,0.2,1539870909.902
2018-10-18 13:58:24.683,0.386,1539871104.683
2018-10-18 13:58:30.687,0.4,1539871110.687
2018-10-18 13:58:44.628,0.386,1539871124.628
