mean,std,min,20%,40%,50%,60%,80%,max,median,acfmean,acfstd,acfmedian,qstatmean,qstatstd,qstatmedian,mda,max_index,sma_sim,sma_adv,sma_sim_abs,sma_adv_abs,energy,iqr,entropy,autoreg_coeff,kurtosis,skewness,length,trace:id,qr
12.887820682,21.2270858401,0.0,2.36328125,4.21630859375,5.84106445312,7.23022460938,12.6586914062,100.0,5.84106445312,0.000375375375375,0.0699970693138,-0.0134499103795,7377.81143795,2194.17937763,7355.41763563,5.09011076605,149,12.887820682,17153.6893278,12.887820682,17153.6893278,820973.957628,7.36846923828,6.75764915168,212.033190033,7.280607039325259,2.8072374584977657,1332,MaxxTurn45/1539866294.9194806,748
13.1373052487,21.2030078902,0.0,2.30590820312,4.42993164062,6.005859375,7.55249023438,12.5219726563,100.0,6.005859375,0.000383141762452,0.0849500254587,-0.0157129628125,11010.4141013,3622.6060059,10583.038612,5.23942068185,740,13.1373052487,17131.0460444,13.1373052487,17131.0460444,811464.446746,7.67822265625,6.76953310932,156.290775233,6.8720486467646165,2.729799848662878,1305,MaxxTurn45/1539936909.149092,877
13.7581781129,22.2472492451,0.0,2.37548828125,4.28344726563,6.14624023438,7.763671875,13.310546875,100.0,6.14624023438,0.000272182906914,0.0708216796402,-0.0111212079084,15113.7659245,4899.50320526,14477.9902759,5.21227342443,936,13.7581781129,25260.0150152,13.7581781129,25260.0150152,1256431.09489,7.45239257812,6.95561943083,196.829346568,5.868969917034805,2.5915340472619053,1837,MaxxTurn45/1539776780.647135,430
13.4387122586,22.1315292818,0.0,2.23388671875,4.0283203125,6.01196289062,7.44018554688,12.7685546875,100.0,6.01196289062,0.000384319754035,0.073800508743,-0.0145604089947,7936.29925883,2444.29781887,7655.29339162,5.27561702508,258,13.4387122586,17470.3259362,13.4387122586,17470.3259362,871705.247164,7.67822265625,6.69633216578,237.992762997,6.451564629841007,2.6833875947927415,1301,MaxxTurn45/1539862997.7963278,708
13.9000675596,22.1775437737,0.0,2.34985351562,4.41650390625,6.45141601562,7.75756835938,13.84765625,100.0,6.45141601562,0.000431034482759,0.079336463567,-0.0184297950308,7328.74673457,2414.36547181,6951.94292365,5.47922145572,570,13.9000675596,16110.1783016,13.9000675596,16110.1783016,794172.334708,7.66906738281,6.60784196843,199.433067666,6.185761510315128,2.6178023241784003,1160,MaxxTurn45/1539789942.2105412,559
14.2121250644,22.7155455678,0.0,2.607421875,4.45190429688,6.24084472656,7.98706054688,14.3505859375,100.0,6.24084472656,0.000383435582822,0.0749021975403,-0.00949472707954,8255.12329902,2872.42027292,7839.9523239,5.34348516863,819,14.2121250644,18518.3989589,14.2121250644,18518.3989589,935730.588101,7.80487060547,6.70759598856,204.486820723,5.826282120759069,2.5753063669830207,1304,MaxxTurn45/1539855082.6318893,678
13.7065212883,21.9318792026,0.0,2.56591796875,4.30419921875,6.08520507812,7.91625976562,13.5498046875,100.0,6.08520507812,0.0003861003861,0.0722713998534,-0.00995105371202,7481.91781181,2641.51598081,7237.8759577,5.17607708121,250,13.7065212883,17736.2385471,13.7065212883,17736.2385471,865713.47896,7.48901367188,6.68923344694,210.900615153,6.221193270385282,2.6311184590466983,1295,MaxxTurn45/1539787493.6799,529
13.1768822035,21.530786443,0.0,2.39624023438,4.32861328125,6.25610351562,7.76000976562,12.5170898438,100.0,6.25610351562,0.000380228136882,0.0804838059632,-0.0200938650365,9909.12429237,3187.40732577,9137.9007333,5.28466611088,39,13.1768822035,17314.4232155,13.1768822035,17314.4232155,837460.986376,7.37915039062,6.67791961623,206.776239678,6.891273185749636,2.753876807990956,1315,MaxxTurn45/1539949020.0393448,958
13.6527373412,22.1923577274,0.0,2.28759765625,4.22607421875,5.93872070312,7.40966796875,13.4704589844,100.0,5.93872070312,0.000389408099689,0.0771654250444,-0.0114089265924,8553.12967357,2630.6280715,8082.22337455,5.28466611088,794,13.6527373412,17516.4620088,13.6527373412,17516.4620088,871212.503538,7.80181884766,6.70262950247,204.32244921,6.112569815997627,2.621700289886789,1284,MaxxTurn45/1539950052.0751345,970
14.0318593098,22.0482658557,0.0,2.47802734375,4.92065429688,6.48803710938,7.97607421875,14.3176269531,100.0,6.48803710938,0.000387897595035,0.0804622698937,-0.0153743038535,9490.28417063,2827.54754881,9349.58222113,5.57423685669,73,14.0318593098,18073.0347911,14.0318593098,18073.0347911,879925.497659,7.62329101562,6.71850537446,179.205803042,5.887050220214162,2.5755259029385265,1289,MaxxTurn45/1539852669.8982103,657
