trace:id;time_calling;time_done
MaxxTurn45/1539786937.1923714;2018-10-17T16:35:42.000+02:00;2018-10-17T16:39:18.000+02:00
MaxxTurn45/1539934495.453325;2018-10-19T09:35:00.885+02:00;2018-10-19T09:38:38.975+02:00
MaxxTurn45/1539851420.6075547;2018-10-18T10:30:26.156+02:00;2018-10-18T10:33:52.895+02:00
MaxxTurn45/1539784851.4207761;2018-10-17T16:00:57.000+02:00;2018-10-17T16:05:05.000+02:00
MaxxTurn45/1539949270.0858183;2018-10-19T13:41:15.289+02:00;2018-10-19T13:45:16.767+02:00
MaxxTurn45/1539789180.8189752;2018-10-17T17:13:06.000+02:00;2018-10-17T17:17:43.000+02:00
MaxxTurn45/1539863465.9748561;2018-10-18T13:51:11.507+02:00;2018-10-18T13:55:01.366+02:00
MaxxTurn45/1539789942.2105412;2018-10-17T17:25:47.000+02:00;2018-10-17T17:29:25.000+02:00
MaxxTurn45/1539774203.6900575;2018-10-17T13:03:29.000+02:00;2018-10-17T13:07:19.000+02:00
MaxxTurn45/1539936672.1011436;2018-10-19T10:11:17.765+02:00;2018-10-19T10:14:55.939+02:00
MaxxTurn45/1539854247.8136997;2018-10-18T11:17:33.624+02:00;2018-10-18T11:21:14.732+02:00
MaxxTurn45/1539851074.855967;2018-10-18T10:24:40.410+02:00;2018-10-18T10:28:17.888+02:00
MaxxTurn45/1539935337.7276201;2018-10-19T09:49:03.936+02:00;2018-10-19T09:52:55.405+02:00
MaxxTurn45/1539938375.6591463;2018-10-19T10:39:41.273+02:00;2018-10-19T10:43:14.096+02:00
MaxxTurn45/1539785330.3479466;2018-10-17T16:08:55.000+02:00;2018-10-17T16:12:22.000+02:00
MaxxTurn45/1539843661.9084291;2018-10-18T08:21:07.377+02:00;2018-10-18T08:24:32.233+02:00
MaxxTurn45/1539935587.837271;2018-10-19T09:53:14.154+02:00;2018-10-19T09:56:54.017+02:00
MaxxTurn45/1539863734.1742258;2018-10-18T13:55:39.885+02:00;2018-10-18T13:59:10.704+02:00
MaxxTurn45/1539938624.131296;2018-10-19T10:43:49.320+02:00;2018-10-19T10:47:34.007+02:00
MaxxTurn45/1539933245.806018;2018-10-19T09:14:11.321+02:00;2018-10-19T09:17:59.815+02:00
MaxxTurn45/1539954034.7019353;2018-10-19T15:00:40.352+02:00;2018-10-19T15:04:14.911+02:00
MaxxTurn45/1539871834.823349;2018-10-18T16:10:40.786+02:00;2018-10-18T16:15:14.492+02:00
MaxxTurn45/1539947558.164653;2018-10-19T13:12:43.578+02:00;2018-10-19T13:16:20.994+02:00
MaxxTurn45/1539863963.378872;2018-10-18T13:59:29.513+02:00;2018-10-18T14:03:53.539+02:00
MaxxTurn45/1539862020.776538;2018-10-18T13:27:06.640+02:00;2018-10-18T13:30:39.397+02:00
MaxxTurn45/1539952996.7378776;2018-10-19T14:43:22.059+02:00;2018-10-19T14:47:50.350+02:00
MaxxTurn45/1539849372.1130202;2018-10-18T09:56:17.748+02:00;2018-10-18T10:00:10.657+02:00
MaxxTurn45/1539952448.1299973;2018-10-19T14:34:13.343+02:00;2018-10-19T14:38:21.558+02:00
MaxxTurn45/1539951943.5310912;2018-10-19T14:25:49.001+02:00;2018-10-19T14:29:28.796+02:00
MaxxTurn45/1539935086.584245;2018-10-19T09:44:51.584+02:00;2018-10-19T09:48:45.348+02:00
MaxxTurn45/1539783110.3459804;2018-10-17T15:31:56.000+02:00;2018-10-17T15:35:46.000+02:00
MaxxTurn45/1539939907.386454;2018-10-19T11:05:12.657+02:00;2018-10-19T11:08:53.381+02:00
MaxxTurn45/1539863231.172295;2018-10-18T13:47:16.528+02:00;2018-10-18T13:50:49.900+02:00
MaxxTurn45/1539867240.4088647;2018-10-18T14:54:06.669+02:00;2018-10-18T14:57:35.342+02:00
MaxxTurn45/1539779647.7070727;2018-10-17T14:34:12.000+02:00;2018-10-17T14:37:40.000+02:00
MaxxTurn45/1539872630.812847;2018-10-18T16:23:56.684+02:00;2018-10-18T16:27:35.805+02:00
MaxxTurn45/1539785865.0524201;2018-10-17T16:17:50.000+02:00;2018-10-17T16:21:25.000+02:00
MaxxTurn45/1539950524.2165277;2018-10-19T14:02:09.327+02:00;2018-10-19T14:06:16.618+02:00
MaxxTurn45/1539853229.2547057;2018-10-18T11:00:36.038+02:00;2018-10-18T11:04:09.128+02:00
MaxxTurn45/1539864720.4634354;2018-10-18T14:12:06.096+02:00;2018-10-18T14:15:36.738+02:00
