"trace:id";"qr";"status";"comment";"manual_measure1";"manual_measure2";"manual_measure3";"ZylinderB_Durchmesser_status";"ZylinderB_Durchmesser";"ZylinderB_Zylinderform_status";"ZylinderB_Zylinderform";"Kreis1_MitteZ_status";"Kreis1_MitteZ";"Kreis1_Durchmesser_status";"Kreis1_Durchmesser";"Kreis2_MitteZ_status";"Kreis2_MitteZ";"Kreis2_Durchmesser_status";"Kreis2_Durchmesser";"Distanz_status";"Distanz"
MaxxTurn45/1539860863.408783;012;ok;NULL;4.53;19.17;15.19;ok;0.5120000000000073;ok;0.4625000000000002;ok;0.4749999999999852;ok;0.38;ok;0.4340000000000482;ok;0.4744999999999995;ok;0.5499999999999992
MaxxTurn45/1539788524.298326;171;ok;NULL;4.538;19.17;15.17;ok;0.5960000000000236;ok;0.4625000000000002;ok;0.4333333333333432;ok;0.38999999999999996;ok;0.5400000000000128;ok;0.4744999999999995;ok;0.6080000000000062
MaxxTurn45/1539843926.4190855;181;ok;NULL;4.535;19.18;15.17;ok;0.6840000000000304;ok;0.4635000000000001;ok;0.4333333333333432;ok;0.38;ok;0.6340000000000056;ok;0.4749999999999983;ok;0.6010000000000048
MaxxTurn45/1539866781.6732707;033;ok;NULL;4.53;19.17;15.18;ok;0.5580000000000417;ok;0.4619999999999997;ok;0.9499999999999704;ok;0.37;ok;0.5140000000000027;ok;0.4749999999999983;ok;0.6799999999999986
MaxxTurn45/1539783663.3386142;154;ok;NULL;4.531;19.17;15.18;ok;0.45000000000001067;ok;0.464;ok;0.008333333333387611;ok;0.35000000000000003;ok;0.37800000000003736;ok;0.4744999999999995;ok;0.5159999999999983
MaxxTurn45/1539848388.604168;189;ok;NULL;4.534;19.17;15.17;ok;0.5179999999999934;ok;0.46149999999999974;ok;0.125;ok;0.36;ok;0.45000000000001067;ok;0.4734999999999996;ok;0.5750000000000031
MaxxTurn45/1539954034.7019353;119;nok;NULL;4.53;19.18;15.18;ok;0.7279999999999983;ok;0.46149999999999974;nok;1.3416666666666717;ok;0.38999999999999996;ok;0.6460000000000484;ok;0.4734999999999996;ok;0.7950000000000063
MaxxTurn45/1539954755.0278454;122;nok;NULL;4.54;19.18;15.18;ok;0.726000000000003;ok;0.4635000000000001;nok;1.2249999999999852;ok;0.36;ok;0.6099999999999908;ok;0.4749999999999983;ok;0.7369999999999992
MaxxTurn45/1539946744.5776465;092;nok;NULL;4.54;19.18;15.19;ok;0.8620000000000394;ok;0.46300000000000013;nok;1.7916666666666419;ok;0.38999999999999996;ok;0.7720000000000372;ok;0.4744999999999995;ok;0.7939999999999997
MaxxTurn45/1539862497.5299973;016;ok;NULL;4.53;19.17;15.18;ok;0.45200000000000595;ok;0.4635000000000001;ok;0.4250000000000296;ok;0.38;ok;0.4040000000000475;ok;0.4749999999999983;ok;0.6270000000000064
MaxxTurn45/1539865495.732754;028;nok;NULL;4.53;19.18;15.18;ok;0.6180000000000431;ok;0.4635000000000001;nok;1.0416666666666419;ok;0.38999999999999996;ok;0.547999999999994;ok;0.4749999999999983;ok;0.5970000000000052
MaxxTurn45/1539778830.473645;137;ok;NULL;4.533;19.17;15.17;ok;0.40000000000005687;ok;0.46300000000000013;ok;0.1083333333333728;ok;0.38999999999999996;ok;0.31400000000004535;ok;0.4744999999999995;ok;0.5079999999999991
MaxxTurn45/1539952448.1299973;113;nok;NULL;4.53;19.18;15.18;ok;0.7319999999999889;ok;0.46300000000000013;nok;1.4166666666666419;ok;0.36;ok;0.6419999999999868;ok;0.4734999999999996;ok;0.7979999999999994
MaxxTurn45/1539952996.7378776;115;nok;NULL;4.53;19.18;15.18;ok;0.7140000000000312;ok;0.46300000000000013;nok;1.2750000000000148;ok;0.36;ok;0.6320000000000102;ok;0.4749999999999983;ok;0.7829999999999987
MaxxTurn45/1539871358.5164235;048;ok;NULL;4.53;19.17;15.17;ok;0.5660000000000229;ok;0.4635000000000001;ok;0.9083333333333283;ok;0.33999999999999997;ok;0.5199999999999886;ok;0.4749999999999983;ok;0.6320000000000037
MaxxTurn45/1539937152.6355686;075;ok;tool correction;4.53;19.18;15.15;ok;0.6119999999999861;ok;0.4625000000000002;ok;0.8416666666666716;ok;0.35000000000000003;ok;0.5420000000000081;ok;0.4734999999999996;ok;0.7920000000000044
MaxxTurn45/1539871118.8928962;047;ok;NULL;4.53;19.17;15.17;ok;0.5680000000000182;ok;0.464;ok;0.9833333333332988;ok;0.37;ok;0.4920000000000543;ok;0.4744999999999995;ok;0.6350000000000056
MaxxTurn45/1539939667.1389508;085;ok;NULL;4.53;19.18;15.16;ok;0.6260000000000243;ok;0.46300000000000013;ok;0.7583333333333135;ok;0.37;ok;0.547999999999994;ok;0.4749999999999983;ok;0.7449999999999983
MaxxTurn45/1539851420.6075547;199;ok;NULL;4.534;19.17;15.17;ok;0.43200000000005284;ok;0.46300000000000013;ok;0.208333333333358;ok;0.4;ok;0.39000000000000923;ok;0.4749999999999983;ok;0.7029999999999983
MaxxTurn45/1539868902.5611076;039;ok;NULL;4.53;19.17;15.19;ok;0.5680000000000182;ok;0.464;ok;0.8666666666666863;ok;0.4;ok;0.4920000000000543;ok;0.47549999999999937;ok;0.6820000000000028
MaxxTurn45/1539873107.7412717;055;ok;NULL;4.54;19.17;15.17;ok;0.5900000000000376;ok;0.4619999999999997;ok;1;ok;0.38;ok;0.5499999999999894;ok;0.4744999999999995;ok;0.6160000000000054
MaxxTurn45/1539950052.0751345;104;ok;NULL;4.53;19.18;15.18;ok;0.7740000000000326;ok;0.4635000000000001;ok;0.625;ok;0.36;ok;0.6900000000000164;ok;0.4759999999999982;ok;0.8580000000000018
MaxxTurn45/1539864720.4634354;025;ok;NULL;4.525;19.17;15.18;ok;0.40000000000005687;ok;0.4625000000000002;ok;0.1166666666666864;ok;0.35000000000000003;ok;0.3080000000000594;ok;0.4744999999999995;ok;0.6160000000000054
MaxxTurn45/1539783889.6511242;155;ok;NULL;4.531;19.17;15.17;ok;0.4620000000000536;ok;0.46300000000000013;ok;0.0583333333333432;ok;0.38;ok;0.4040000000000475;ok;0.4739999999999984;ok;0.49299999999999855
MaxxTurn45/1539860624.3439968;011;ok;NULL;4.53;19.17;15.19;ok;0.5360000000000221;ok;0.46149999999999974;ok;0.6500000000000148;ok;0.38999999999999996;ok;0.4579999999999919;ok;0.4749999999999983;ok;0.6780000000000033
